,title,desc,exp,rating,cuisine_tags,img,url,cover_image,adress,post,location,more_desc,phone,social_url
0,BİR-İKİ Döner,Bakı şəhərinə dönərism konsepsiyasını yayan məkan,$,9.2,"dönər, şaurma, roll",https://prod-wolt-venue-images-cdn.wolt.com/5d3f0e585ed88fbd2c11342c/49adf2c6267a3d3792003237ec5d6728,https://wolt.com/az/aze/baku/restaurant/biriki-doner,https://prod-wolt-venue-images-cdn.wolt.com/5d3f0e585ed88fbd2c11342c/1ce1cca3e5e3367d35b033a3d6c764a4,Yusif Mammadaliyev 27A,AZ1000 Baku,"https://maps.google.com/?q=40.37140467126463,49.83856558799744","BİR-İKİ döner shop - Bakı şəhərinə dönərism konsepsiyasını yayan məkan. İnanın, Bakı hələ belə DOBRİY dönər görməyib. Ənənəvi dönərlə yanaşı Əfsanəvi Bakı 1996 dönərinin, porsion dönərin və plovüstü dönərin dadına baxa biləcəyiniz məkan.",+994124989149,https://www.facebook.com/BIRIKIDONER
1,Vapiano Uzeyir Hajibeyov,Italian Cuisine,$$,8.8,"pasta, pizza, salat",https://prod-wolt-venue-images-cdn.wolt.com/5d08f6ef34d95657b705d546/b3e262f325480db01135fbcec3700cf9-edits/3aab41f9ae1b3e33f8a2b242f9120947,https://wolt.com/az/aze/baku/restaurant/vapiano-uzeyir-hajibayli,https://prod-wolt-venue-images-cdn.wolt.com/5d08f6ef34d95657b705d546/00b8984e166b4d2737af61c1fbd6ae0a,"Uzeyir Hajibeyov 6/8, Sabail distr.",AZ1000 Baku,"https://maps.google.com/?q=40.371016410416594,49.84093129634857",People who meet in our relaxed setting share one important quality: the love of enjoying life and sharing on companionship,+994125988118,https://www.vapiano.com/en/home/
2,Meatadore,Probably the best burger you ever had in town,$$,9.2,"qamburger, Çizburger, içkilər",https://prod-wolt-venue-images-cdn.wolt.com/5dedf69b574423fd8c9be575/a09c7e2406e369b95402678f70052ea9-edits/4cebbb37d773035c3ea2d2a9edea5196,https://wolt.com/az/aze/baku/restaurant/meatadore,https://prod-wolt-venue-images-cdn.wolt.com/5dedf69b574423fd8c9be575/3e519dc31b61e270ec56d06385bdf8fa-edits/b1983764d11f13e147612541637ab851,Zeynalabdin Taghiyev str. 6A,AZ1001 Baku,"https://maps.google.com/?q=40.369978312531934,49.839359521865845",Probably the best burger you ever had in town,+994507709966,https://www.facebook.com/meatadore/
3,Namlı Kebap,Türk mətbəxinin ən ləzzətli unvanı,$$$,8.8,"türk, kəbab, dönər",https://prod-wolt-venue-images-cdn.wolt.com/5f310654a746da64bcbffa34/3feeeb5a-db1e-11ea-84a0-6ec5193e6132_img_7501.jpg,https://wolt.com/az/aze/baku/restaurant/namli,https://prod-wolt-venue-images-cdn.wolt.com/5f310654a746da64bcbffa34/501575b2-db1e-11ea-9ef7-bad3731a5b9a_img_7493.jpg,3 Mardanov brothers str.,AZ1000 Baku,"https://maps.google.com/?q=40.3726589894877,49.840339569820536",Türk mətbəxinin ən ləzzətli unvanı,+994502064644,http://www.namlikebapbaku.az/
4,Shaurma №1 Nizami Küç. ,1998-ci ildən,$$,9.2,"lahmacun, mucha pizza, pide",https://prod-wolt-venue-images-cdn.wolt.com/5e6b61032184a4176e154156/f0f314e2-5fbe-11eb-98d5-66ff70be21c9_shaurma_1_group__1_.jpg,https://wolt.com/az/aze/baku/restaurant/shaurma-1-nizami-str,https://prod-wolt-venue-images-cdn.wolt.com/5e6b61032184a4176e154156/f40fd4f8-5fbe-11eb-bd16-66ff70be21c9_c8b6112f_105c_46cb_8819_c01eb41900aa.png,Nizami Street 81,AZ1000 Baku,"https://maps.google.com/?q=40.37303592011353,49.84041420888251",Azərbaycanın ilk “fast-food” brendi,+994552527605,https://www.facebook.com/pg/shaurma.az/about/?ref=page_internal
5,Central Baku,İncəlikləri ilə seçilən kafe və şiriniyyat evi,$$$,9.0,"desert, desertlər, balıq",https://prod-wolt-venue-images-cdn.wolt.com/5d400f71c28227d07e1bcd32/01478692-bc24-11e9-9e9b-0a586465596d_Group.jpg,https://wolt.com/az/aze/baku/restaurant/central-baku,https://prod-wolt-venue-images-cdn.wolt.com/5d400f71c28227d07e1bcd32/0523ef3a-bc24-11e9-b016-0a586466e613_Close%20Up.jpg,75 Nizami str.,AZ1000 Baku,"https://maps.google.com/?q=40.37253536185212,49.83862102020794","Central Baku - tarixi olan Nizami kuçəsində yerləşən, incəlikləri ilə seçilən yeməklər, şirniyyat və şokolad məhsulları təklif edən bir məkandır.",+994505024555,https://www.facebook.com/centralbakuaz/
6,SunSet Cafe,"Klassik Amerika mətbəxi
",$$$,9.0,"Amerika, meksikan",https://prod-wolt-venue-images-cdn.wolt.com/5e58ed504b9b4faa73ee5a25/970fb0e2-5a16-11ea-b11a-0a586475cdcf_IMG_9456.jpg,https://wolt.com/az/aze/baku/restaurant/sunset-cafe,https://prod-wolt-venue-images-cdn.wolt.com/5e58ed504b9b4faa73ee5a25/a18a3f4c-5a16-11ea-b610-0a586479b24c_IMG_9462.jpg,"Sabail dist, Hajı Zeynalabdin Taghıyev 8A",az1005 Baku,"https://maps.google.com/?q=40.3701173394329,49.839153152852","Klassik Amerika mətbəxi
",+99412492 22 92,https://www.facebook.com/pg/SunsetCafeBaku/
7,PakDad Nizami ,Ətin ən ləzzətli halı,$$,9.0,"kəbab, dönər, lahmacun",https://prod-wolt-venue-images-cdn.wolt.com/5db611efd05f9c07b89b32c9/ce64f5a566ffc475dded13b2875a7c33-edits/1feee4dc411353b5cc76699de125df25,https://wolt.com/az/aze/baku/restaurant/pakdad-nizami,https://prod-wolt-venue-images-cdn.wolt.com/5db611efd05f9c07b89b32c9/69686a4462beed8abe8d3e7fe7364d61-edits/31cf4d3af03cdd156bcdcb974e5dead4,"87 Nizami St, Baku 1000",AZ1000 Baku,"https://maps.google.com/?q=40.37323151070397,49.84020709991455","Hər şüfrədə dad, o da PakDad",+994512355231,https://pakdad.az
8,Tavuk Pilav,🍛❤️,$,8.4,"Eastern cuisine, acılı, türk",https://prod-wolt-venue-images-cdn.wolt.com/5fbcf97503fd352e5df1a6e4/3bcfe67c-2f0c-11eb-a7ac-5691956cc893_img_7379.jpg,https://wolt.com/az/aze/baku/restaurant/tavuk-pilav,https://prod-wolt-venue-images-cdn.wolt.com/5fbcf97503fd352e5df1a6e4/46f7df82-2f0c-11eb-8bc2-e2a46cebd0af_img_7394.jpg,Haci Zeynalabdin Tagiyev street 16,AZ1005 Baku,"https://maps.google.com/?q=40.370644739605865,49.83852461534219",🍛❤️,+994503021206,https://www.instagram.com/pilov_plove/
9,Yoshi Sushi,"Sushi, əriştə və daha çox!",$$$,8.8,"suşi, sup, salat",https://prod-wolt-venue-images-cdn.wolt.com/5d1249adda5aa4385a6c2aee/ba37628b0b201e84792078595d389f1a-edits/7f99a26f153609bfa664db73b3023aa4,https://wolt.com/az/aze/baku/restaurant/yoshisushi-hztaghiyev,https://prod-wolt-venue-images-cdn.wolt.com/5d1249adda5aa4385a6c2aee/00a448e4006f9ed23cee903544a78085,24B Haji Zeynalabdin Taghiyev str.,AZ1005 Baku,"https://maps.google.com/?q=40.3709700701845,49.8382401465278","Təcrübəli ustalarımız tərəfindən hazırlanan yüksək keyfiyyətli və ləzzətli suşiləri, salatları və qəlyanaltıları sizlərə təqdim edirik!",+994125555033,http://yoshisushi.az/
